date,temperature,humidity,feels_like,pressure,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_description,sunrise,sunset
2022-12-04,293.84,100,294.58,1013,293.84,,20,10000,2.57,90,light rain,2022-12-03 08:11:45,2022-12-03 21:41:17
2022-12-05,293.85,94,294.43,1013,292.85,,75,10000,3.09,50,light rain,2022-12-04 08:11:51,2022-12-04 21:41:58
2022-12-06,293.84,94,294.42,1014,292.84,,75,10000,2.57,360,light rain,2022-12-05 08:11:59,2022-12-05 21:42:39
2022-12-07,292.85,100,293.49,1016,292.85,,75,5000,2.57,50,very heavy rain,2022-12-06 08:12:08,2022-12-06 21:43:19
2022-12-08,293.0,91,293.42,1014,291.49,,75,8000,3.6,160,broken clouds,2022-12-07 08:12:18,2022-12-07 21:43:59
2022-12-09,294.85,56,294.54,1010,285.7,,0,10000,2.06,160,clear sky,2022-12-08 08:12:30,2022-12-08 21:44:39
2022-12-10,295.84,64,295.84,1013,288.69,,0,10000,3.09,140,clear sky,2022-12-09 08:12:43,2022-12-09 21:45:17
2022-12-11,296.85,60,296.84,1012,288.63,,0,10000,2.06,70,clear sky,2022-12-10 08:12:58,2022-12-10 21:45:56
2022-12-12,296.85,78,297.31,1010,292.79,,75,10000,2.06,330,broken clouds,2022-12-11 08:13:14,2022-12-11 21:46:33
2022-12-13,293.84,94,294.42,1008,292.84,,0,10000,4.12,340,moderate rain,2022-12-12 08:13:31,2022-12-12 21:47:11
2022-12-14,289.84,94,290.02,1013,288.87,,75,6000,12.52,150,light intensity drizzle,2022-12-13 08:13:49,2022-12-13 21:47:47
2022-12-15,289.85,82,289.72,1015,286.77,,75,10000,4.12,140,broken clouds,2022-12-14 08:14:09,2022-12-14 21:48:23
2022-12-16,291.85,88,292.07,1013,289.82,,75,10000,3.6,150,broken clouds,2022-12-15 08:14:29,2022-12-15 21:48:58
2022-12-17,291.85,82,291.92,1011,288.72,,40,10000,4.12,150,scattered clouds,2022-12-16 08:14:51,2022-12-16 21:49:32
2022-12-18,292.15,83,292.27,1014,289.2,,40,10000,5.14,130,scattered clouds,2022-12-17 08:15:15,2022-12-17 21:50:05
2022-12-19,292.24,86,292.45,1016,289.84,,75,10000,6.26,109,broken clouds,2022-12-18 08:15:39,2022-12-18 21:50:38
2022-12-20,291.02,95,291.34,1015,290.21,,100,10000,3.6,100,light intensity drizzle,2022-12-19 08:16:05,2022-12-19 21:51:10
2022-12-21,290.39,95,290.65,1014,289.58,,75,9000,8.75,180,light rain,2022-12-20 08:16:31,2022-12-20 21:51:41
2022-12-22,289.84,94,290.02,1016,288.87,,75,10000,4.12,130,moderate rain,2022-12-21 08:16:59,2022-12-21 21:52:11
