date,temperature,humidity,feels_like,pressure,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_description,sunrise,sunset
2021-01-18,296.0,76,296.33,1012,291.55,,0,10000.0,6.2,320,clear sky,2021-01-17 08:34:42,2021-01-17 21:58:17
2021-01-19,295.83,84,296.35,1014,292.99,,75,8000.0,3.1,200,light rain,2021-01-18 08:35:26,2021-01-18 21:58:12
2021-01-20,294.75,89,295.29,1016,292.86,,100,7000.0,5.14,150,overcast clouds,2021-01-19 08:36:11,2021-01-19 21:58:05
2021-01-21,295.54,86,296.08,1016,293.08,,100,8000.0,5.14,140,overcast clouds,2021-01-20 08:36:55,2021-01-20 21:57:57
2021-01-22,295.69,79,296.06,1018,291.87,,75,7000.0,5.14,130,broken clouds,2021-01-21 08:37:40,2021-01-21 21:57:48
2021-01-23,295.54,77,295.85,1019,291.31,,75,8000.0,4.63,130,broken clouds,2021-01-22 08:38:24,2021-01-22 21:57:37
2021-01-24,294.68,84,295.08,1017,291.86,,20,10000.0,3.1,190,few clouds,2021-01-23 08:39:08,2021-01-23 21:57:24
2021-01-25,294.73,85,295.16,1016,292.1,,40,9000.0,3.1,150,scattered clouds,2021-01-24 08:39:52,2021-01-24 21:57:11
2021-01-26,292.92,92,293.35,1015,291.58,,20,8000.0,3.6,100,moderate rain,2021-01-25 08:40:36,2021-01-25 21:56:56
2021-01-27,296.78,69,297.0,1014,290.76,,20,10000.0,2.1,90,few clouds,2021-01-26 08:41:20,2021-01-26 21:56:39
2021-01-28,300.86,54,301.62,1012,290.71,,0,10000.0,2.1,290,clear sky,2021-01-27 08:42:04,2021-01-27 21:56:22
2021-01-29,297.52,63,297.66,1012,290.03,,20,10000.0,1.54,230,few clouds,2021-01-28 08:42:47,2021-01-28 21:56:03
2021-01-30,300.4,49,300.74,1013,288.76,,0,10000.0,2.1,250,clear sky,2021-01-29 08:43:31,2021-01-29 21:55:42
2021-01-31,298.87,67,299.25,1014,292.28,,20,10000.0,3.6,180,few clouds,2021-01-30 08:44:13,2021-01-30 21:55:21
2021-02-01,300.84,53,301.51,1014,290.4,,75,10000.0,4.1,230,broken clouds,2021-01-31 08:44:56,2021-01-31 21:54:58
2021-02-02,296.49,69,296.68,1014,290.48,,0,10000.0,2.1,50,clear sky,2021-02-01 08:45:38,2021-02-01 21:54:34
2021-02-03,295.07,85,295.54,1016,292.43,,75,10000.0,1.03,280,broken clouds,2021-02-02 08:46:20,2021-02-02 21:54:08
2021-02-04,297.55,78,298.08,1015,293.47,,40,9000.0,2.4,103,scattered clouds,2021-02-03 08:47:02,2021-02-03 21:53:41
2021-02-05,300.01,64,301.33,1009,292.63,,0,10000.0,4.12,320,light rain,2021-02-04 08:47:43,2021-02-04 21:53:13
2021-02-06,292.9,87,293.2,1011,290.68,,75,10000.0,3.1,120,broken clouds,2021-02-05 08:48:24,2021-02-05 21:52:44
2021-02-07,292.82,78,292.88,1014,288.88,,75,7000.0,5.7,120,broken clouds,2021-02-06 08:49:04,2021-02-06 21:52:14
2021-02-08,292.34,72,292.19,1016,287.18,,75,10000.0,4.12,130,broken clouds,2021-02-07 08:49:44,2021-02-07 21:51:42
2021-02-09,291.79,71,291.56,1016,286.43,,0,10000.0,5.14,150,clear sky,2021-02-08 08:50:23,2021-02-08 21:51:09
2021-02-10,293.52,76,293.6,1017,289.15,,75,8000.0,5.14,150,broken clouds,2021-02-09 08:51:02,2021-02-09 21:50:35
2021-02-11,293.72,84,294.03,1016,290.92,,75,10000.0,4.63,130,broken clouds,2021-02-10 08:51:41,2021-02-10 21:50:00
2021-02-12,292.68,85,292.91,1017,290.09,,75,10000.0,2.06,80,light rain,2021-02-11 08:52:19,2021-02-11 21:49:24
2021-02-13,293.98,85,294.34,1015,291.37,,75,10000.0,3.09,110,light rain,2021-02-12 08:52:56,2021-02-12 21:48:47
2021-02-14,293.84,89,294.29,1013,291.96,,0,10000.0,2.6,40,clear sky,2021-02-13 08:53:33,2021-02-13 21:48:08
2021-02-15,297.02,71,297.32,1010,291.45,,0,10000.0,2.1,290,clear sky,2021-02-14 08:54:10,2021-02-14 21:47:29
2021-02-16,296.49,68,296.66,1010,290.25,,0,10000.0,4.12,160,clear sky,2021-02-15 08:54:46,2021-02-15 21:46:48
2021-02-17,295.84,73,296.07,1009,290.75,,0,10000.0,2.1,80,clear sky,2021-02-16 08:55:21,2021-02-16 21:46:07
2021-02-18,292.79,93,293.24,1011,291.63,,0,10000.0,1.54,20,light rain,2021-02-17 08:55:56,2021-02-17 21:45:24
2021-02-19,294.76,83,295.14,1010,291.75,,0,10000.0,2.6,130,light rain,2021-02-18 08:56:30,2021-02-18 21:44:41
2021-02-20,295.51,77,295.81,1014,291.28,,75,10000.0,3.6,140,broken clouds,2021-02-19 08:57:04,2021-02-19 21:43:56
2021-02-21,294.96,78,295.23,1016,290.96,,40,10000.0,5.14,160,scattered clouds,2021-02-20 08:57:38,2021-02-20 21:43:11
2021-02-22,294.76,78,295.01,1017,290.76,,75,10000.0,5.7,150,broken clouds,2021-02-21 08:58:11,2021-02-21 21:42:25
2021-02-23,294.75,78,295.0,1016,290.75,,75,10000.0,4.63,150,broken clouds,2021-02-22 08:58:43,2021-02-22 21:41:37
2021-02-24,298.78,58,298.91,1014,289.91,,0,10000.0,3.6,90,clear sky,2021-02-23 08:59:15,2021-02-23 21:40:49
2021-02-25,293.04,87,293.36,1015,290.81,,20,8000.0,2.6,80,few clouds,2021-02-24 08:59:46,2021-02-24 21:40:01
2021-02-26,293.76,82,294.02,1014,290.58,,75,10000.0,2.68,49,broken clouds,2021-02-25 09:00:17,2021-02-25 21:39:11
2021-02-27,292.92,88,293.25,1015,290.88,,75,8000.0,3.1,100,broken clouds,2021-02-26 09:00:48,2021-02-26 21:38:21
2021-02-28,292.86,93,293.31,1016,291.7,,75,6000.0,3.6,140,light rain,2021-02-27 09:01:17,2021-02-27 21:37:29
2021-03-01,294.61,87,295.08,1016,292.36,,75,10000.0,2.6,120,broken clouds,2021-02-28 09:01:47,2021-02-28 21:36:38
2021-03-02,295.69,85,296.22,1014,293.04,,75,8000.0,3.6,160,broken clouds,2021-03-01 09:02:16,2021-03-01 21:35:45
2021-03-03,295.89,78,296.26,1016,291.86,,0,10000.0,3.1,160,clear sky,2021-03-02 09:02:44,2021-03-02 21:34:52
2021-03-04,294.94,77,295.19,1017,290.73,,0,10000.0,3.6,160,clear sky,2021-03-03 09:03:12,2021-03-03 21:33:58
2021-03-05,295.03,79,295.34,1014,291.23,,0,10000.0,4.63,330,light intensity drizzle,2021-03-04 09:03:40,2021-03-04 21:33:04
2021-03-06,295.1,81,295.47,1010,291.69,,75,10000.0,5.7,330,light intensity drizzle,2021-03-05 09:04:07,2021-03-05 21:32:09
2021-03-07,293.57,91,294.04,1013,292.05,,75,8000.0,2.1,90,heavy intensity rain,2021-03-06 09:04:34,2021-03-06 21:31:13
2021-03-08,293.72,87,294.1,1015,291.48,,75,6000.0,3.6,110,broken clouds,2021-03-07 09:05:00,2021-03-07 21:30:17
2021-03-09,293.78,82,294.04,1015,290.6,,75,10000.0,2.6,110,broken clouds,2021-03-08 09:05:26,2021-03-08 21:29:21
2021-03-10,294.64,65,294.54,1013,287.79,,40,8000.0,7.2,210,thunderstorm with light rain,2021-03-09 09:05:52,2021-03-09 21:28:24
2021-03-11,293.79,79,293.97,1013,290.02,,100,9000.0,3.1,100,overcast clouds,2021-03-10 09:06:17,2021-03-10 21:27:26
2021-03-12,294.15,86,294.55,1014,291.72,,0,10000.0,1.54,250,moderate rain,2021-03-11 09:06:42,2021-03-11 21:26:28
2021-03-13,295.84,77,296.18,1016,291.6,,75,10000.0,3.1,130,broken clouds,2021-03-12 09:07:07,2021-03-12 21:25:30
2021-03-14,295.9,74,296.16,1017,291.03,,20,10000.0,4.63,100,few clouds,2021-03-13 09:07:31,2021-03-13 21:24:32
2021-03-15,293.99,80,294.22,1017,290.41,,0,10000.0,3.1,90,clear sky,2021-03-14 09:07:55,2021-03-14 21:23:33
2021-03-16,295.83,73,296.06,1016,290.74,,40,10000.0,4.63,90,scattered clouds,2021-03-15 09:08:19,2021-03-15 21:22:34
2021-03-17,295.84,77,296.18,1014,291.6,,40,10000.0,4.12,90,scattered clouds,2021-03-16 09:08:43,2021-03-16 21:21:35
2021-03-18,295.94,72,296.15,1012,290.63,,40,8000.0,2.6,240,scattered clouds,2021-03-17 09:09:06,2021-03-17 21:20:35
2021-03-19,293.78,88,294.2,1015,291.72,,20,8000.0,2.1,140,few clouds,2021-03-18 09:09:29,2021-03-18 21:19:35
2021-03-20,294.83,87,295.33,1017,292.57,,75,10000.0,3.6,160,broken clouds,2021-03-19 09:09:52,2021-03-19 21:18:36
2021-03-21,295.83,78,296.19,1019,291.8,,0,10000.0,2.6,130,clear sky,2021-03-20 09:10:15,2021-03-20 21:17:36
2021-03-22,299.29,63,299.29,1018,291.7,,0,10000.0,2.6,140,clear sky,2021-03-21 09:10:38,2021-03-21 21:16:36
2021-03-23,296.75,73,297.07,1018,291.63,,75,10000.0,4.12,150,broken clouds,2021-03-22 09:11:00,2021-03-22 21:15:36
2021-03-24,296.86,77,297.3,1018,292.59,,75,10000.0,3.6,150,broken clouds,2021-03-23 09:11:23,2021-03-23 21:14:35
2021-03-25,295.66,78,296.0,1018,291.63,,75,10000.0,3.6,160,broken clouds,2021-03-24 09:11:45,2021-03-24 21:13:35
2021-03-26,296.83,72,297.13,1019,291.49,,75,10000.0,4.12,130,broken clouds,2021-03-25 09:12:07,2021-03-25 21:12:35
2021-03-27,297.78,77,298.31,1016,293.48,,20,8000.0,1.54,80,few clouds,2021-03-26 09:12:29,2021-03-26 21:11:35
2021-03-28,299.29,53,299.29,1015,288.97,,0,10000.0,2.6,130,clear sky,2021-03-27 09:12:51,2021-03-27 21:10:35
2021-03-29,295.69,70,295.83,1014,289.95,,0,10000.0,1.03,230,clear sky,2021-03-28 09:13:13,2021-03-28 21:09:36
2021-03-30,297.83,73,298.26,1014,292.67,,20,7000.0,3.1,220,few clouds,2021-03-29 09:13:35,2021-03-29 21:08:36
2021-03-31,293.63,81,293.85,1012,290.26,,0,10000.0,3.1,150,clear sky,2021-03-30 09:13:57,2021-03-30 21:07:36
2021-04-01,291.78,73,291.6,1013,286.85,,40,10000.0,4.63,180,scattered clouds,2021-03-31 09:14:19,2021-03-31 21:06:37
2021-04-02,291.86,77,291.8,1016,287.75,,75,10000.0,6.2,200,broken clouds,2021-04-01 09:14:41,2021-04-01 21:05:38
2021-04-03,291.91,77,291.85,1019,287.8,,40,10000.0,5.14,180,scattered clouds,2021-04-02 09:15:04,2021-04-02 21:04:40
2021-04-04,292.86,77,292.9,1019,288.72,,75,6000.0,4.63,130,broken clouds,2021-04-03 09:15:26,2021-04-03 21:03:41
2021-04-05,292.83,76,292.84,1019,288.48,,75,10000.0,4.92,73,broken clouds,2021-04-04 09:15:48,2021-04-04 21:02:43
2021-04-06,292.8,79,292.88,1019,289.06,,75,10000.0,4.63,140,broken clouds,2021-04-05 09:16:10,2021-04-05 21:01:45
2021-04-07,291.05,89,291.22,1019,289.21,,75,10000.0,2.1,110,light rain,2021-04-06 09:16:33,2021-04-06 21:00:48
2021-04-08,291.95,77,291.9,1021,287.84,,40,10000.0,5.7,90,scattered clouds,2021-04-07 09:16:55,2021-04-07 20:59:51
2021-04-09,292.65,78,292.69,1022,288.72,,75,10000.0,2.6,110,broken clouds,2021-04-08 09:17:18,2021-04-08 20:58:54
2021-04-10,293.91,77,294.05,1020,289.73,,0,10000.0,2.1,110,clear sky,2021-04-09 09:17:41,2021-04-09 20:57:58
2021-04-11,294.43,62,294.23,1017,286.86,,0,10000.0,1.54,110,clear sky,2021-04-10 09:18:04,2021-04-10 20:57:03
2021-04-12,294.68,52,294.25,1015,284.42,,0,10000.0,1.03,340,clear sky,2021-04-11 09:18:27,2021-04-11 20:56:08
2021-04-13,294.21,82,294.51,1018,291.02,,75,10000.0,5.7,170,mist,2021-04-12 09:18:50,2021-04-12 20:55:13
2021-04-14,291.67,75,291.54,1021,287.16,,75,10000.0,4.12,180,broken clouds,2021-04-13 09:19:14,2021-04-13 20:54:19
2021-04-15,291.7,73,291.52,1020,286.77,,75,10000.0,4.12,130,broken clouds,2021-04-14 09:19:38,2021-04-14 20:53:26
2021-04-16,291.86,77,291.8,1018,287.75,,75,10000.0,3.6,150,broken clouds,2021-04-15 09:20:02,2021-04-15 20:52:33
2021-04-17,293.78,77,293.91,1016,289.61,,0,10000.0,3.1,80,clear sky,2021-04-16 09:20:26,2021-04-16 20:51:41
2021-04-18,292.94,82,293.12,1015,289.78,,20,8000.0,3.6,140,light rain,2021-04-17 09:20:50,2021-04-17 20:50:49
2021-04-19,291.75,83,291.83,1016,288.81,,75,6000.0,4.12,190,broken clouds,2021-04-18 09:21:15,2021-04-18 20:49:58
2021-04-20,290.76,82,290.72,1018,287.65,,75,10000.0,5.36,148,broken clouds,2021-04-19 09:21:39,2021-04-19 20:49:08
2021-04-21,290.78,77,290.61,1019,286.7,,40,10000.0,4.12,170,scattered clouds,2021-04-20 09:22:04,2021-04-20 20:48:19
2021-04-22,290.86,81,290.8,1018,287.56,,75,10000.0,4.12,130,broken clouds,2021-04-21 09:22:30,2021-04-21 20:47:30
2021-04-23,289.7,79,289.47,1019,286.05,,75,8000.0,4.63,170,broken clouds,2021-04-22 09:22:55,2021-04-22 20:46:42
2021-04-24,290.66,82,290.61,1018,287.56,,75,6000.0,2.6,120,broken clouds,2021-04-23 09:23:21,2021-04-23 20:45:55
2021-04-25,292.68,80,292.78,1016,289.14,,75,10000.0,2.6,150,broken clouds,2021-04-24 09:23:47,2021-04-24 20:45:08
2021-04-26,294.02,72,294.04,1014,288.79,,0,10000.0,1.54,30,clear sky,2021-04-25 09:24:13,2021-04-25 20:44:23
2021-04-27,292.84,82,293.01,1016,289.68,,75,10000.0,2.6,80,broken clouds,2021-04-26 09:24:39,2021-04-26 20:43:38
2021-04-28,290.66,85,290.69,1017,288.11,,75,10000.0,4.63,150,broken clouds,2021-04-27 09:25:06,2021-04-27 20:42:54
